Data Source,World Development Indicators,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Last Updated Date,2017-11-21,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Country Name,Country Code,Indicator Name,Indicator Code,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016
Antigua and Barbuda,ATG,Agriculture value added per worker (constant 2010 US$),EA.PRD.AGRI.KD,2134.122945138,1744.3959595129,1455.8903270288,1426.2266594528,1338.5983384926,1280.2001045459,1564.9571555432,1792.2724239646,1905.0323292184,2004.1686344595,2126.1503719373,2199.7512757376,2295.9208924544,2388.5510760078,2358.6074714452,2160.3606022951,2115.4870251159,2220.2091994222,2314.4031689005,2390.9321492269,2470.3763354133,2115.6310156923,2369.7767963257,2511.7321986781,2462.5855603706,2751.209442099,2908.0698801525,2880.7430428809,2682.8895334619,2305.7476459827,2344.7361111111,2662.5562943546,2727.4075584915,2878.7384366438,2417.2341597143,2733.5283646144,2813.9772671692
Australia,AUS,Agriculture value added per worker (constant 2010 US$),EA.PRD.AGRI.KD,28007.1943925094,24554.1442762297,28570.3120477524,22374.7863542621,31917.4396755612,31692.4543020926,28956.129110838,29073.4954618768,28137.0422538896,28999.6597285809,31109.4032280786,33258.1717565421,31836.790068262,33879.0749637125,35359.5378164464,30113.3737194389,36729.6292962967,40196.1614719784,40439.7843905058,44668.7495330283,47483.5671443443,49438.2659718165,50944.1728998771,40185.609496579,50548.0456570683,51983.9423335947,52913.7617406159,45045.1637776914,47786.5235564843,55953.8878802515,55268.3613831912,57130.8397846435,57946.5397874072,57617.5306784858,58144.7534349433,58747.3839742333,55934.0476996213
Austria,AUT,Agriculture value added per worker (constant 2010 US$),EA.PRD.AGRI.KD,13199.2751626778,12858.8198074036,13949.2301467548,13778.4487630857,13812.9301319496,13666.0343772607,14138.2768812748,14136.3406724737,14929.3328114831,15122.5844459194,16453.563319995,16442.4622502051,16409.742321693,16553.3482666239,17986.3978337964,18626.6729851939,19618.9506547046,20409.7356277012,22398.4312262963,24210.415078793,24280.8931850094,25036.3128934887,25170.2641027917,25189.0333269488,28541.1199884675,28462.5011790644,28773.8747276175,32842.9121135742,36223.0088790372,34879.2478257037,34599.301285216,41185.3128849827,39323.0516455274,40175.3811744024,42754.3596305889,44737.0378243731,49461.2225803931
Azerbaijan,AZE,Agriculture value added per worker (constant 2010 US$),EA.PRD.AGRI.KD,,,,,,,,,,,,,2203.0820874525,1845.9086728131,1628.3687574265,1528.9443109887,1569.7813005075,1456.8120021323,1532.4926637118,1627.6079158787,1920.3805780714,2107.524007332,2215.3885463193,2311.5998836848,2398.6247843114,2563.4424912862,2591.5651324528,2611.0816013713,2739.2591102477,2811.4632588692,2703.4335155716,2849.7265940282,3032.2396033946,3186.6612059823,3112.3820137475,3339.323443983,3455.5522420042
Burundi,BDI,Agriculture value added per worker (constant 2010 US$),EA.PRD.AGRI.KD,388.6634760424,429.9552561789,383.6053712613,386.8879317515,360.1706751026,394.9101036488,398.7525652432,403.822987089,396.4540060986,376.5978305984,387.8788611448,390.0121877423,396.8869374777,375.2086466072,336.0389000078,311.5401509453,315.422688281,326.0472910082,332.0933692204,326.4591658898,304.9445375306,287.8604427895,291.2610765644,271.4844849162,261.3515883275,235.7249127658,234.9149176207,206.8423745336,196.4160181602,197.0219044377,200.2964364336,205.6234742439,214.0926567986,214.0141838106,219.2101577038,228.9702357848,202.4359859303
Belgium,BEL,Agriculture value added per worker (constant 2010 US$),EA.PRD.AGRI.KD,,,,,,,,,,,,,,,,,,,,,42042.8484723602,41135.7530234634,46643.351901695,46387.6774460077,50424.6950174749,50500.5285011963,56637.4586837884,58255.9665111067,59545.9784979739,56057.3832733404,62494.8760383228,65218.9518267783,67084.0058813901,59490.8350802216,60921.273466933,70546.1202801567,73737.897242551
Benin,BEN,Agriculture value added per worker (constant 2010 US$),EA.PRD.AGRI.KD,535.1257499221,486.7827730008,486.9148340555,478.1468598528,557.9928284313,598.0515224446,616.6400844239,540.9845432116,586.3031860613,599.2843668381,580.7559027275,596.6913473229,570.4753668086,614.5674414011,620.7256906464,644.3265886564,669.5491272389,700.6722852005,728.6767356177,762.6467539163,792.5435020589,827.7007177337,854.7814783683,859.8543965433,918.7985262747,902.6988753727,946.8351973896,978.4445956217,985.4204599843,1020.2866551265,989.8624203098,1000.3525231252,1022.3605333142,1062.9233968887,1111.5301505591,1023.618429501,1061.3334512146
Burkina Faso,BFA,Agriculture value added per worker (constant 2010 US$),EA.PRD.AGRI.KD,246.8725994768,261.3849621128,262.8032925834,257.5950139113,248.8186640207,259.9216406992,284.8317388232,248.6736172072,285.0541699803,273.1179629805,248.055667106,291.1819060573,290.2544992385,309.8151908711,302.7417395198,312.962226842,342.3386428263,319.8221049226,362.1939558576,356.640690454,361.5085860433,388.9374771235,398.3870351906,413.9219403136,387.0426322816,413.8087141318,416.7277840957,385.8788350455,446.7801113585,392.1957035175,422.9416986883,395.7644797987,412.4792593546,409.9165261663,404.2752600854,387.1966928973,392.3368855844
Bangladesh,BGD,Agriculture value added per worker (constant 2010 US$),EA.PRD.AGRI.KD,312.9096113832,309.7237582699,305.4135185406,310.0717488934,318.0071859811,311.4974336968,314.6016908228,307.864935395,299.894546118,293.3185031284,314.4565598931,316.9597503348,324.1990662881,332.2959878353,335.3153929167,334.6904074936,345.3010302445,358.1872766319,369.6902984109,381.8176402113,408.3177315715,415.5874583259,411.9454616434,425.9571455267,445.5103763947,464.2516136463,490.2253071051,526.6142720059,551.9135088892,573.0283240787,610.554670215,640.2364266681,662.2480028333,681.6110422577,715.019360725,743.1292520835,768.9102037096
Bulgaria,BGR,Agriculture value added per worker (constant 2010 US$),EA.PRD.AGRI.KD,4930.2284121206,5328.9988349722,5826.870864803,5050.076070815,5857.1409721146,4847.8900588184,6287.4170840666,5734.2358968188,6625.7002031422,6728.1667980581,6932.3883102142,8357.2224649163,7663.8357569842,5839.5881861425,7004.5305610408,8767.6252414244,6115.2993112339,9071.5515304069,10205.2077386243,11967.5622675131,11692.8387708136,11749.244167682,13293.3685132729,14162.0934906436,15467.6403762636,15135.5568405987,15508.663868959,12614.338595546,17705.733521203,17325.6868126233,16973.7267300445,18415.4654769542,18323.6084103293,20252.0982807635,22826.7182539509,23002.7845901505,25795.8322052254
Bahrain,BHR,Agriculture value added per worker (constant 2010 US$),EA.PRD.AGRI.KD,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,19135.6382978723,19441.4893617021,19847.0744680851,20139.6276595745,22426.8617021277,28971.6312056738,
"Bahamas, The",BHS,Agriculture value added per worker (constant 2010 US$),EA.PRD.AGRI.KD,,,,,,,,,,26694.1041611298,26220.2224054047,32563.1723350907,28126.4641551698,31045.8598637655,31369.0466395134,30609.6480263466,33260.1500108937,30399.5169257751,27576.6455994785,31429.110336967,34142.9975842958,34701.9389645747,39403.4386588304,43010.934126684,40076.2622789296,36098.4658506282,33145.425899677,30714.591122611,31619.5875671179,32798.2687492572,34003.4,39130.2590440358,40690.6294106049,30922.012927961,30117.4900079407,29404.8076039045,
Bosnia and Herzegovina,BIH,Agriculture value added per worker (constant 2010 US$),EA.PRD.AGRI.KD,,,,,,,,,,,,,,,,,,,,,,,,,,,18698.1707250473,20821.3810072007,23788.3065671377,25294.4995598294,26495.2874037319,28382.9963646694,27885.5995563519,35129.4519974984,33646.2710009459,39266.2647141926,45582.4473488183
Belarus,BLR,Agriculture value added per worker (constant 2010 US$),EA.PRD.AGRI.KD,,,,,,,,,,,,,4181.4466420224,4464.5541024125,3952.0122771958,4059.5645445251,4334.0334648044,4321.1751426186,4483.0478077329,4388.6574309615,4961.9122803494,5221.236531359,5562.7664275574,6204.0295801235,7307.411157865,7770.0591489823,8572.0730927955,9352.1810946614,10546.0785678452,10997.1279485087,11725.854886123,13018.4328771352,14439.6711066711,14448.9815057328,15536.8630650608,15792.9240626517,17133.0115766477
Belize,BLZ,Agriculture value added per worker (constant 2010 US$),EA.PRD.AGRI.KD,3040.9686205652,2877.5876989379,3045.2873101356,2892.8315154374,2776.474957329,2780.0617376818,2658.0973784677,3021.9948812793,3021.9948812793,3188.0013880401,3557.2822877318,3391.200176007,3828.8151790377,3821.0970806542,3774.086218426,3600.2930644835,3862.9115306934,3940.264163605,3862.2879022106,4281.7592603478,4584.3884692209,4566.3318923785,4414.5119784642,6128.7537762445,6460.3519811044,6422.7627181974,6007.9509185382,4602.6088442414,5057.7502250359,5010.4556085409,5181.3370967742,4956.3123263596,5129.1387689203,5254.00764003,5389.5447964467,4633.1689032548,3379.1137111733
Bermuda,BMU,Agriculture value added per worker (constant 2010 US$),EA.PRD.AGRI.KD,,,,,,,,,,,,,,,,,25110.795849077,26265.8924581457,27290.2622640497,31740.0704657966,30918.3773592784,30352.2611700351,32487.5330090195,34213.6939410389,37784.4426465676,38266.2245699015,41618.9602263237,43315.5144479706,45663.4162978119,43372.0363495908,42971,41236.7645106063,38253.6641473192,,,,
Bolivia,BOL,Agriculture value added per worker (constant 2010 US$),EA.PRD.AGRI.KD,1035.2001629775,988.3768396545,1027.664389354,870.7545749862,978.3246410763,1031.5197541209,973.5419841819,967.4120411531,989.7376489965,958.8122546063,987.0161226098,1065.5315026393,1003.8265223814,1029.5299148393,1083.4885550716,1084.1512487856,1119.3496754515,1051.4776716935,986.2097043584,992.4706090993,1009.188283873,1019.9245107575,1000.0643496296,1061.2512133672,1037.8724061288,1062.3791268578,1079.4499552966,1049.6388313059,1053.7026927609,1069.3146392801,1034.7582829527,1044.6702481664,1065.7921005378,1093.9115471936,1113.3997823461,1147.2984175773,1160.9029758507
Brazil,BRA,Agriculture value added per worker (constant 2010 US$),EA.PRD.AGRI.KD,2136.2012716112,2308.7195604751,2312.5456501387,2317.6335513666,2427.2589491606,2711.5924932973,2536.9141678977,2955.1902260917,3052.8928217739,3213.7079237602,3183.7019239724,3062.0226025961,3222.5685127761,3273.6063585609,3537.8647852627,3763.9996375513,3924.8244791895,3955.8820889352,4114.0276185213,4408.1099264705,4578.872800872,4885.5581481779,5322.0578223556,5868.9292110057,6050.5210127903,6233.9849528982,6657.559815483,7029.8743720558,7615.2421840792,7516.1979757312,8228.1063011264,8922.8553189244,8883.0512985658,9892.9444441589,10458.3161264562,11149.6749720417,10725.6366860527
Barbados,BRB,Agriculture value added per worker (constant 2010 US$),EA.PRD.AGRI.KD,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,15125,,,,,,
Brunei Darussalam,BRN,Agriculture value added per worker (constant 2010 US$),EA.PRD.AGRI.KD,,,,,,,,,,25766.8866886689,26424.4224422442,26832.8199486615,26654.5654565457,27834.5067840117,28178.5111844518,28999.1565823249,29400.2566923359,65465.9332599927,67867.0333700037,75449.7983131646,80398.166483315,85097.6897689769,89506.0506050605,99623.469013568,111568.096809681,113026.549321599,101877.814448112,97326.2926292629,100967.510084342,106732.746607994,100476.7143381,98276.4943160983,,,,,
Bhutan,BTN,Agriculture value added per worker (constant 2010 US$),EA.PRD.AGRI.KD,764.0555465942,796.0071865078,822.6747841896,875.3319403464,908.4653003964,934.4503844428,955.6770923909,968.0157870364,1010.8788050265,1048.8943739455,1103.9741541812,1122.0960392243,1164.5989348436,1216.9300874934,1271.223066556,1308.6262501146,1335.4294522477,1360.3678827147,1338.170392242,1290.8186996782,1279.8218294939,1244.609096502,1176.9115627492,1108.2329369502,1044.9345449007,988.4754167051,959.7164527339,915.4985752361,883.9631858705,877.3154272825,856.3438943945,852.3457661114,847.6488812828,844.9189426692,844.8832782719,865.9504792428,877.2732572653
Botswana,BWA,Agriculture value added per worker (constant 2010 US$),EA.PRD.AGRI.KD,906.8480025379,863.9246031076,805.4726248747,687.3848218546,623.0037409141,644.8036465037,662.2912110638,860.5634191286,1038.8503368827,1024.1010241473,1065.1937220252,1073.4681620696,1049.7685615627,996.4701362835,936.5796447202,1122.8010825853,1077.3117900914,920.3375181673,813.7313150138,874.2119905576,745.3999205009,856.2264561711,670.959709814,794.4762217484,786.9874043325,754.0136278598,839.9736298422,923.8904193782,923.6535938616,963.6178338824,1003.5860973055,989.73194714,894.1805068364,895.121753109,881.2627590023,876.208404986,
Central African Republic,CAF,Agriculture value added per worker (constant 2010 US$),EA.PRD.AGRI.KD,603.7136809766,580.6154081386,574.4379778253,538.0195593381,574.6939515856,583.4545041711,596.8866561507,570.3759919772,574.8466568738,568.8755679412,558.5679138025,563.1996415165,559.8344646314,564.2916109597,560.4555323786,580.1534799757,599.4413029614,629.5378689253,646.1988119676,666.3525391652,663.3569726418,728.3734645459,741.7563400373,732.7696314457,780.7570819513,751.2427594157,780.0442269398,792.7825319591,800.9050691733,786.796602278,796.4466803184,840.6376767857,856.1987274201,463.8942352992,431.9480018867,443.5571971436,465.7748769795
Canada,CAN,Agriculture value added per worker (constant 2010 US$),EA.PRD.AGRI.KD,,,,,,,,,,,,,,,,,,,,,,,,,,,,60554.2949250838,66312.5783835116,63052.3977433116,64716.6407115172,68641.4065453693,70655.0620124345,84829.6516298459,83938.3173705411,86778.1336442414,91291.1933454498
Central Europe and the Baltics,CEB,Agriculture value added per worker (constant 2010 US$),EA.PRD.AGRI.KD,,,,,,,,,,,,,,,,,4105.4175122284,4388.0531065507,4554.8721018348,4743.7147552346,4626.6877596416,5301.7458343553,5555.421661758,5871.4347414836,6942.7973696831,6752.494671512,6812.1778982875,6351.2564172465,7481.273219198,7759.7683721005,7529.3812647732,8334.4809514601,7583.1658464547,8858.116865031,9682.3074390317,9366.1802678026,10108.6189569444
Switzerland,CHE,Agriculture value added per worker (constant 2010 US$),EA.PRD.AGRI.KD,,,,,,,,,,,22625.8012831443,20841.6406554158,21957.6771817105,21388.7729656782,21002.7267502795,22141.3838231811,22562.9263538392,22675.3651098533,24016.7035093587,24159.0624976409,26606.9602895664,24891.5577040027,25548.9225098687,23157.4770170374,27037.8252958041,26518.663842268,26408.9190148008,27822.5710610165,28896.7287326029,30141.3269058398,29790.7670278604,32315.7674535601,31607.074334584,30251.5839820606,33114.8402421999,31847.2452526033,
Channel Islands,CHI,Agriculture value added per worker (constant 2010 US$),EA.PRD.AGRI.KD,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Chile,CHL,Agriculture value added per worker (constant 2010 US$),EA.PRD.AGRI.KD,2210.4311760529,2265.7880175631,2240.755764952,2163.1614595261,2295.7318881686,2325.2679451906,2482.1619679143,2647.9230489775,2881.1916053271,2995.1558377984,3243.4974087514,3304.5669814303,3643.0129316149,3683.4184257082,3945.0346610899,4257.0830478465,4385.5507810031,4564.3803794985,4781.5604622352,4671.6691425792,5091.7056836963,5288.9230386487,5536.1811247016,5635.1619684718,6271.0037022284,7090.2811222779,7685.8509930248,7949.242632571,8509.8347356161,8094.7241748716,8197.1749837082,9127.9082796924,8799.6961333586,8831.2654880554,8873.9847312739,9529.9884811018,9942.1313403065
China,CHN,Agriculture value added per worker (constant 2010 US$),EA.PRD.AGRI.KD,390.226770605,407.0652561355,442.705128229,466.2575455611,512.7641368995,508.9853733389,512.9714129222,524.8325876957,526.2800491204,531.7343017092,560.863237526,568.1598657676,589.9932839567,613.8694834903,635.1275384924,663.5158364472,694.5076669485,716.2479182049,739.1710222599,757.9726883681,774.1272144793,793.5591893496,814.0990311968,833.1756405643,884.4931336058,930.0869651634,975.720388656,1010.0894045455,1064.1878636239,1109.4336655613,1160.5345546719,1214.3223457129,1275.5420442885,1332.7964125769,1397.6221382791,1465.4363446493,1529.214975056
Cote d'Ivoire,CIV,Agriculture value added per worker (constant 2010 US$),EA.PRD.AGRI.KD,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2320.1652587464,2257.5240453076,2169.163694243,2326.0407711933,2265.0372018239,2420.6356420818,2740.9832866527,2818.5160669226,2844.6369717263
Cameroon,CMR,Agriculture value added per worker (constant 2010 US$),EA.PRD.AGRI.KD,668.9105061353,742.3294760771,762.4682848077,692.5419972288,742.2846603616,794.3874288379,823.6062088397,808.8652167842,690.6209768947,722.3378246341,698.8934334778,661.294692027,691.4759340584,767.1198218738,830.2944508349,806.801893639,834.087387126,892.1230509316,919.373765628,955.1343795,984.4119427986,1012.9469763134,1045.3470895896,1078.2942673985,1121.8827878191,1148.8120672157,1180.4799874049,1258.4116330883,1320.4335875441,1355.2461753246,1434.0532114943,1477.3382027281,1516.0992609075,1571.5183327928,1646.0547780233,1735.8856646664,
"Congo, Dem. Rep.",COD,Agriculture value added per worker (constant 2010 US$),EA.PRD.AGRI.KD,389.2696789598,388.8307601949,393.3207711446,393.5444343775,395.0576674771,396.9555059813,396.9822180274,395.5130425741,397.2181410633,397.7815332291,396.908870442,396.4279145286,397.812739636,393.2988804265,378.7254695232,412.0444676201,413.7471622715,396.9728349782,386.1121612109,389.6846285463,339.3842796348,328.401061667,310.1596298101,305.3785356811,303.0003818709,297.7254062536,308.1164223156,312.1123484831,315.0736465192,318.2267438282,322.1933704631,326.2598796673,330.4728603468,335.3387379456,348.7900083737,358.7508120227,364.0884303349
"Congo, Rep.",COG,Agriculture value added per worker (constant 2010 US$),EA.PRD.AGRI.KD,554.2898166067,570.0391622395,586.890537683,605.9947574456,588.7459106931,586.0930820195,589.4633886793,641.3189777533,672.9734253123,690.5147285144,695.1551611767,622.0811194868,656.2450423426,585.9226486525,562.3828530308,582.5193519673,578.4196168002,580.6005396335,585.5545966047,541.0067235556,560.1040897505,601.4375715419,650.4441853145,691.175275917,722.9580097918,750.4129030702,786.1998292606,822.3051887048,863.1580451343,830.8424209326,877.7670420594,947.7940017311,998.5812509017,1074.2650794467,1158.7576739556,1217.1800101592,1280.1727443212
Colombia,COL,Agriculture value added per worker (constant 2010 US$),EA.PRD.AGRI.KD,4174.2500110873,4267.0964296948,4152.3244041479,4241.0432174771,4301.3681677636,4371.5815632619,4530.8096072888,4742.0241004333,4969.5259282436,5295.8582014219,5709.3101744262,5790.4207806179,5632.012432761,5749.6005830273,4536.7405481959,4695.1977775617,4631.83555501,4651.1865043643,4644.9496376152,4500.164416442,4250.7055576123,4323.4302406789,4518.9200472556,4666.3640215713,4813.3613318687,4958.469550276,5090.2871948952,5274.5179728459,5267.9940838462,5252.7532509079,5288.1678192768,5428.6268633026,5604.7776074855,6018.3595119146,6238.9810203196,6460.6278740619,6567.0082024057
Comoros,COM,Agriculture value added per worker (constant 2010 US$),EA.PRD.AGRI.KD,800.4806389061,794.670873362,804.5517803551,814.335027673,835.4419484941,853.7786103857,860.2215906488,867.4696552282,883.4767556583,887.3459935151,914.4917755535,898.2284189933,879.1482281774,873.1943548254,815.0834641712,869.8227536597,851.2814991556,895.4249973599,874.3248267719,890.9317632542,953.4740428795,975.5241773073,979.7000304717,980.9543691361,980.9351865984,984.455594273,984.9102692823,983.0306556084,1039.4416002513,978.8454410372,945.6648524861,958.5308716633,972.2452370225,986.8046088577,981.9909283728,,
Cabo Verde,CPV,Agriculture value added per worker (constant 2010 US$),EA.PRD.AGRI.KD,870.8943936849,836.239362124,651.6659316284,616.8518910944,636.9405872981,805.793731488,862.8939396431,1150.6539305425,1242.0600416865,1242.9613597836,1100.6510982999,1022.4926851332,974.2249365615,1247.6845576503,1347.7609073958,1664.9857113647,1696.5114599004,1776.5215954953,1845.6483282871,2653.5849099886,2907.9342602414,2667.4221906488,2579.6301199444,2708.1158745476,2872.4862930437,2763.6093228374,2771.4687344831,4049.5085367947,4154.786397869,4608.4279686071,4421.0927253335,4602.5267633431,5073.8046087598,4380.0030607499,4515.2459144989,4639.4496366968,5150.4314161012
Costa Rica,CRI,Agriculture value added per worker (constant 2010 US$),EA.PRD.AGRI.KD,3156.1945555179,3246.0053501486,3028.4694055321,3106.0759882201,3406.4316494584,3153.7944534843,3293.8192785219,3501.3712691355,3584.9055186163,3693.2011344333,3973.78663383,4250.9433537176,4450.0057239201,4575.5582963288,4805.7450770988,5196.8793195347,5327.8944427894,5526.4674240359,5880.0861033673,6099.4556114394,6000.5162120061,5998.9966419479,5831.3762069038,6278.5335534582,6481.3695429255,6598.5037225614,7200.1848473542,7554.8497138758,7332.6101569167,7108.4555165144,7624.0726141039,7748.4919322646,8174.9781037689,8261.7970127492,8521.9833060186,8310.6780658179,8845.1924587089
Caribbean small states,CSS,Agriculture value added per worker (constant 2010 US$),EA.PRD.AGRI.KD,2954.3912202492,3094.9254078314,3035.8494120927,2987.2356771339,2953.2684474632,2943.1668722563,3057.8484696584,3185.8198762088,3334.8866489345,3793.0723753948,3919.8670560487,4240.4179644463,4476.2527451251,4421.0731431584,4498.9406256535,4619.7463698941,4855.1213206014,4614.3031032415,4381.6859513384,4602.727208612,4412.4034187931,4642.9187856445,4723.2346253818,4955.7181913348,4673.3311291526,4314.689926222,4611.9277350139,4523.8879969061,4478.8789279738,4868.9804610128,5073.3965380651,5242.7698133009,5471.59432785,5362.951796016,5545.3482437393,5681.4870367771,5450.1618853976
Cuba,CUB,Agriculture value added per worker (constant 2010 US$),EA.PRD.AGRI.KD,3182.7983066776,3793.4009134111,4142.593403859,4371.7975030512,4712.4908787081,4593.7030457573,4641.8399093857,4737.887392806,4907.131912011,4951.5971329285,4556.8042901751,3492.813250706,3155.1736119548,2458.7304150946,2363.9434217493,2488.8452266868,2964.562719027,3076.9641215954,2687.8821105795,3052.5412536791,3394.5698457977,3491.5157602918,3481.1545995757,3647.5012130034,3736.6848043931,3371.8423384008,3236.8652884957,3911.8597206833,4026.3680162054,4118.5465768799,3967.5767918089,4225.5452316428,4345.9506092958,4641.0872182197,4850.9210846873,5084.917805506,
Curacao,CUW,Agriculture value added per worker (constant 2010 US$),EA.PRD.AGRI.KD,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Cayman Islands,CYM,Agriculture value added per worker (constant 2010 US$),EA.PRD.AGRI.KD,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Cyprus,CYP,Agriculture value added per worker (constant 2010 US$),EA.PRD.AGRI.KD,5591.0780944612,5693.7420320094,6020.8114124138,6204.6329174625,7078.5923401762,7380.4000265429,7814.0881017933,8494.053361733,9928.6337912351,10838.388422961,11576.4586786857,10030.5086110938,12964.7026957326,13750.1517171653,12526.73588886,16298.1098817843,17255.3941904098,14841.77687743,17334.8263789952,18627.2522402815,19135.0513347137,20457.3738088058,21920.3166258751,20142.236865505,21234.1562167442,20321.3115650308,18445.6901742764,17759.3016899513,16841.1512867667,15897.1862277168,17929.3598233996,19160.9054890241,17816.2991962169,17484.883095122,16722.8527109471,18925.1156017136,20087.7899787045
