Country Name,Country Code,Series Name,Series Code,y1980,y1981,y1982,y1983,y1984,y1985,y1986,y1987,y1988,y1989,y1990,y1991,y1992,y1993,y1994,y1995,y1996,y1997,y1998,y1999,y2000,y2001,y2002,y2003,y2004,y2005,y2006,y2007,y2008,y2009,y2010,y2011,y2012,y2013
Australia,AUS,Agriculture value added per worker (constant 2005 US$),EA.PRD.AGRI.KD,24303.57664,21306.7795,24791.96648,19415.99437,27696.30887,27501.80536,25128.18243,25229.42492,24416.82422,25165.3166,26995.27812,28860.72377,27627.44184,29399.28175,30684.86543,26130.86831,31872.52596,34881.43258,35093.56893,38767.83422,41208.34724,42908.01367,44220.64749,34875.97672,43876.77594,45121.16928,45929.31386,39100.11862,41482.51622,48441.27126,47792.78356,49467.61946,49960.93275,48580.24811
Austria,AUT,Agriculture value added per worker (constant 2005 US$),EA.PRD.AGRI.KD,10917.77983,10636.17232,11538.10512,11396.84357,11425.36467,11303.85986,11694.47518,11692.87374,12348.79705,12508.64515,13609.56435,13600.38189,13573.31761,13692.10133,14877.44847,15407.05188,16260.85642,17043.0922,18753.0151,20288.83525,20338.52894,20957.3678,20907.96493,21046.18518,23842.49743,24020.22857,24378.08311,27605.99005,30166.1584,29136.07951,29491.98987,34807.60271,33212.91916,34277.58501
Azerbaijan,AZE,Agriculture value added per worker (constant 2005 US$),EA.PRD.AGRI.KD,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1014.914814,850.3722974,750.1561889,704.3533583,723.1660942,671.1235141,705.9880019,749.8056888,884.6800125,970.8931586,1020.584172,1064.906685,1104.99729,1180.925466,1193.881049,1202.871865,1261.920609,1295.183572,1245.416424,1312.810722,1085.129977,NA
"Bahamas, The",BHS,Agriculture value added per worker (constant 2005 US$),EA.PRD.AGRI.KD,NA,NA,NA,NA,NA,NA,NA,NA,NA,23333.26565,22919.04466,28463.40722,24585.29139,27137.12518,27419.62197,26755.83524,29072.63171,26572.15964,24104.69321,27472.12527,29844.32893,30332.89852,34442.47041,37595.77531,35030.58425,31553.6,28972.35342,26847.56539,27638.62105,28668.90402,29936.9693,33967.26705,30914.50987,NA
Bahrain,BHR,Agriculture value added per worker (constant 2005 US$),EA.PRD.AGRI.KD,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Bangladesh,BGD,Agriculture value added per worker (constant 2005 US$),EA.PRD.AGRI.KD,238.9217482,240.5221201,237.1500218,240.8733676,246.9631179,242.1016194,244.4761336,239.3382283,232.823276,227.5357627,244.2824448,246.4806866,252.4515062,259.1126971,261.7492646,261.445316,270.0889101,284.1264639,291.1629316,303.2121068,324.2287452,331.223206,328.7303368,336.9470187,349.4464991,356.5547054,374.3111526,394.0401458,407.8761312,426.142854,450.1608478,475.0697629,491.8541245,504.7582598
Barbados,BRB,Agriculture value added per worker (constant 2005 US$),EA.PRD.AGRI.KD,8905.105853,7374.203878,7201.707881,7471.232877,8989.197652,8941.761252,9344.970646,8301.369863,7815.146771,7115.459883,8472.667971,8182.778865,8316.193738,7930.772994,7915.949119,7886.30137,10605.42354,10537.65725,9131.506849,9995.526978,10368.24154,10949.90215,10495.30333,10080.23483,9348.923679,12120,11432.17221,11693.07241,11693.07241,12025.1272,14112.32877,13222.89628,12778.18004,NA
Belarus,BLR,Agriculture value added per worker (constant 2005 US$),EA.PRD.AGRI.KD,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2589.798019,2765.141914,2447.6968,2514.309787,2684.303363,2676.339502,2776.596074,2718.134965,3073.182966,3233.796622,3445.324718,3842.493972,4525.878377,4799.315636,5305.534053,5759.496166,6488.422253,6767.765492,7216.23286,8011.700983,8886.348171,8931.017662
Belgium,BEL,Agriculture value added per worker (constant 2005 US$),EA.PRD.AGRI.KD,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,39345.90722,39184.46898,41873.18221,39918.20559,42636.05979,38514.88364,43835.5479,44675.74784,47162.85133,48660.85173,52483.6603,53290.91918,56515.03037,59565.34643
Belize,BLZ,Agriculture value added per worker (constant 2005 US$),EA.PRD.AGRI.KD,2507.25078,2372.544709,2510.812101,2385.114454,2289.177456,2292.134998,2191.576944,2491.608361,2491.608361,2628.479223,2932.947033,2796.013103,3156.823382,3150.459485,3111.699505,2968.409603,3184.935152,3248.712424,3184.421534,3530.271038,3779.786871,3764.899959,3639.724547,5053.101732,5326.501811,5295.509819,4953.501752,3794.808649,4169.994056,4130.906057,4273.988495,4089.620385,4765.461545,NA
Benin,BEN,Agriculture value added per worker (constant 2005 US$),EA.PRD.AGRI.KD,589.5946858,536.3310141,536.4765176,526.8160762,614.7893397,658.9254948,679.4061342,596.0498294,645.9813288,660.2838272,639.8694032,657.4268716,628.5424404,677.1225226,683.9076026,709.9107691,737.7006386,771.9917349,802.8466791,840.2744094,865.4807493,906.2892883,913.0423966,917.4757909,959.3360825,936.8481242,974.5881923,1001.344539,1023.806765,1037.847031,1041.240933,NA,NA,NA
Bermuda,BMU,Agriculture value added per worker (constant 2005 US$),EA.PRD.AGRI.KD,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,25608.71419,26786.71504,27831.39693,32369.43973,31531.45339,30954.11176,33131.7236,34892.11233,38533.66489,39025,42444.21657,44174.41152,46568.86957,44232.05418,43823.06574,42054.44235,38509.87586,NA
Bhutan,BTN,Agriculture value added per worker (constant 2005 US$),EA.PRD.AGRI.KD,565.5382917,589.1882523,608.9270499,647.902803,672.4274551,691.6610722,707.3726427,716.5054925,748.2318374,776.3701796,817.1391052,830.5525595,862.0123321,900.7467718,940.9333343,968.6184022,988.4575798,1006.91649,990.4863803,955.4376188,947.2979635,921.2342089,871.1258853,820.2913692,773.4391933,731.6492958,710.3625008,677.6333353,654.2914776,649.3709423,630.3972621,630.8889163,634.7622798,629.196555
Bolivia,BOL,Agriculture value added per worker (constant 2005 US$),EA.PRD.AGRI.KD,622.7586086,594.5905275,618.2252258,523.8309848,588.5432771,620.544551,585.6661213,581.978453,595.4091549,576.8049692,593.7719314,641.0054342,603.8847789,619.3474979,651.8080883,652.2067534,673.3815218,632.5508911,593.286804,597.0532567,607.1103224,613.569052,601.6215204,638.4304858,624.3661973,639.1090192,649.3785361,631.4259908,633.8894256,643.2813042,622.4927943,628.7072041,641.4188999,NA
Bosnia and Herzegovina,BIH,Agriculture value added per worker (constant 2005 US$),EA.PRD.AGRI.KD,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,4898.868451,4529.840314,7556.479215,9108.276513,10021.21209,9643.63451,7468.145892,8143.677637,8553.712247,8530.827812,11758.14934,13940.07264,15374.51527,17743.22438,20262.28454,21783.98211,22894.56912,24692.6304,28182.96708,NA
Botswana,BWA,Agriculture value added per worker (constant 2005 US$),EA.PRD.AGRI.KD,755.6606755,719.8933036,671.1862998,572.7857733,519.1381352,537.3036746,551.8757681,717.092489,865.6558734,853.3655644,887.6073996,894.5023246,874.7538503,830.3412222,780.4355059,935.6105867,897.7051515,766.9012247,678.0681323,728.4656259,621.1287714,713.4785933,559.0990403,662.0232004,655.7829204,628.3064378,697.2690957,769.9123502,769.628627,802.931413,922.3183133,700.1690407,761.8685108,NA
Brazil,BRA,Agriculture value added per worker (constant 2005 US$),EA.PRD.AGRI.KD,1226.542852,1325.597694,1327.794517,1330.715838,1393.659462,1556.915274,1456.620207,1696.781806,1752.879711,1845.21493,1827.986386,1758.121758,1850.302416,1879.60682,2031.336103,2161.17597,2262.615393,2280.463921,2371.573613,2541.155953,2641.928632,2841.969974,3054.449507,3290.626345,3402.989753,3477.610594,3719.768269,3988.283653,4342.679798,4313.626655,4705.834866,5019.415144,5045.380343,5563.738694
Brunei Darussalam,BRN,Agriculture value added per worker (constant 2005 US$),EA.PRD.AGRI.KD,NA,NA,NA,NA,NA,NA,NA,NA,NA,20568.46208,21093.34182,21419.32563,21277.05079,22218.91502,22493.5308,23148.60787,23468.79968,52258.27449,54174.9383,60227.9242,64177.95165,67929.36777,71448.35311,79524.59617,89059.41142,90223.61812,81324.13023,77690.88539,80597.48126,85199.59138,80205.69636,83867.40161,NA,NA
Bulgaria,BGR,Agriculture value added per worker (constant 2005 US$),EA.PRD.AGRI.KD,3922.144291,4239.378077,4635.450194,4017.486648,4659.530923,3856.641713,5001.828453,4561.756257,5270.942816,5352.458016,5514.922465,6648.420668,6096.810857,4645.56712,5572.313778,6974.908236,4881.233219,7245.907478,8164.6706,9459.836081,9299.807187,9355.60603,10584.89736,11231.49888,12252.95817,11949.8214,12243.9435,9917.107718,13962.4496,13593.2909,13573.12021,14474.37539,16101.05169,NA
Burkina Faso,BFA,Agriculture value added per worker (constant 2005 US$),EA.PRD.AGRI.KD,196.4406405,207.9883692,209.1169585,204.9726443,197.9891565,206.82398,226.6453601,197.8737403,226.8223523,217.3245135,197.3820271,231.6982939,230.9603409,246.5251092,240.896646,249.0292581,272.4045617,254.4877774,288.2037651,283.7849393,265.1912066,309.4840305,316.7922203,328.7992945,307.4986355,328.9503578,331.16154,306.84015,355.6836533,312.2537206,334.3911235,307.7577479,360.7927026,NA
Burundi,BDI,Agriculture value added per worker (constant 2005 US$),EA.PRD.AGRI.KD,233.3216456,258.1098408,230.2851748,232.2557546,216.2169069,237.0716081,239.3783066,242.4221716,237.9984404,226.0784226,232.8506273,234.1313014,238.2583368,225.2444706,201.7301702,187.0231323,189.353889,195.7320283,199.3615974,195.9792842,183.0636674,172.8077794,174.8492408,162.9769986,156.8940393,141.509887,141.0236324,124.171182,117.9120535,118.2757779,120.2415381,123.4394543,128.5236563,NA
Cabo Verde,CPV,Agriculture value added per worker (constant 2005 US$),EA.PRD.AGRI.KD,810.8970015,778.6294275,606.7715763,574.3559102,593.0606669,750.2812348,803.4477111,1071.383418,1156.492436,1157.33165,1024.825389,952.0514399,907.1089457,1161.729465,1254.911378,1550.282013,1579.635923,1654.134003,1718.498486,2470.77495,2707.601739,2483.658947,2401.915047,2521.549178,2674.595845,2573.219583,2580.537568,NA,NA,NA,NA,NA,NA,NA
Cambodia,KHM,Agriculture value added per worker (constant 2005 US$),EA.PRD.AGRI.KD,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,349.2981119,375.7009302,379.4049502,374.7806128,383.5794688,391.1050058,387.5686185,374.7845598,370.0204241,353.2911385,383.1363027,373.1986061,424.3737594,441.5177659,452.3552871,469.9647583,487.4325932,499.4739984,508.2094127,523.8418334,NA
Cameroon,CMR,Agriculture value added per worker (constant 2005 US$),EA.PRD.AGRI.KD,516.5823393,573.281917,588.8345999,534.8323307,573.2473071,613.4849319,636.0498425,624.6657543,533.3487762,557.84288,539.7373812,510.7008424,534.0090375,533.359439,543.1381264,583.3335194,619.2891004,657.7617709,694.3393127,734.0335647,760.2359652,788.1091348,813.7656067,840.7615103,867.5149006,887.1977139,911.6007141,NA,NA,NA,NA,NA,NA,NA
Canada,CAN,Agriculture value added per worker (constant 2005 US$),EA.PRD.AGRI.KD,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Cayman Islands,CYM,Agriculture value added per worker (constant 2005 US$),EA.PRD.AGRI.KD,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Central African Republic,CAF,Agriculture value added per worker (constant 2005 US$),EA.PRD.AGRI.KD,464.4397816,446.6720063,441.9191068,413.9013149,442.1161801,448.8558393,459.1882505,438.794557,442.2339927,437.6394216,429.7096563,433.2735589,430.6836162,434.113335,431.1616745,446.3154651,461.1544702,484.3070537,497.1250588,512.6286093,510.3254927,560.3425185,570.6372124,563.7243683,600.6416776,577.9358759,623.9418178,661.6954402,676.3352824,733.8827096,769.1259483,823.1299124,863.4428596,NA
Chad,TCD,Agriculture value added per worker (constant 2005 US$),EA.PRD.AGRI.KD,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1287.097338,1277.367683,1248.123802,1170.590727,1120.449402,1285.41584,1173.325151,1296.949609,NA
Channel Islands,CHI,Agriculture value added per worker (constant 2005 US$),EA.PRD.AGRI.KD,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Chile,CHL,Agriculture value added per worker (constant 2005 US$),EA.PRD.AGRI.KD,2277.982934,2333.682312,2297.453775,2207.865909,2312.902273,2311.062644,2466.998114,2631.746657,2863.590003,2976.858137,3223.682601,3284.379071,3620.757395,3107.500894,3279.745155,3481.030669,3534.051907,3640.061911,3701.968555,3719.91227,4429.451422,4558.801929,4681.820024,4856.95973,5061.029678,5358.799709,5499.067202,5706.949748,6127.485205,5794.479907,5829.221855,6535.766453,6491.713293,6671.008632
China,CHN,Agriculture value added per worker (constant 2005 US$),EA.PRD.AGRI.KD,223.8602972,233.5283825,253.976654,267.6677242,294.1769306,292.0347808,294.4258615,301.1449172,302.1100842,305.2379186,321.8145511,326.1289986,338.9534786,352.8369354,365.1361423,381.803081,399.7833881,412.575186,426.0455135,437.103185,446.8417771,458.7248868,471.5681533,483.1986217,513.8118066,541.1091808,569.0807749,590.4304335,623.2459722,650.9175905,681.0422968,713.1312682,749.6116793,784.6735473
Colombia,COL,Agriculture value added per worker (constant 2005 US$),EA.PRD.AGRI.KD,2670.754526,2730.159208,2656.726159,2713.48993,2752.086835,2797.010533,2898.887281,3034.025824,3179.585274,3388.378086,3652.911529,3704.807443,3603.455149,3678.690002,2902.681996,3004.065565,2963.525362,2975.906421,2971.91597,2879.279979,2719.672056,2766.202516,2891.280143,2985.617248,3079.66857,3172.51122,3256.85034,3374.724253,3370.55016,3360.798822,3383.457651,3473.325682,3584.793507,3801.788901
Comoros,COM,Agriculture value added per worker (constant 2005 US$),EA.PRD.AGRI.KD,812.3421525,806.4462951,816.4736185,826.4018336,847.8215163,866.4298905,872.9683446,880.3238111,896.5681039,900.4946751,928.042703,911.5383562,892.1754354,886.1333376,827.1613605,882.7117761,863.895778,908.6933924,887.2805622,904.1335798,958.3653437,990.0768626,1012.047245,1017.01006,995.4639413,1012.550768,885.1132597,889.4308853,907.3253877,921.8173904,NA,NA,NA,NA
"Congo, Dem. Rep.",ZAR,Agriculture value added per worker (constant 2005 US$),EA.PRD.AGRI.KD,259.5990747,259.3063653,262.3006974,262.4498556,263.4590118,264.7246565,264.7424704,263.7626957,264.8998046,265.2755237,264.6935559,264.3728124,265.2963349,262.2860987,252.5672735,274.7872961,275.9228018,264.736213,257.4933657,259.8757994,226.3311265,219.006556,206.8415735,203.6531217,202.0671607,198.5493455,205.478984,208.1438172,210.1186697,212.2214308,NA,NA,NA,NA
"Congo, Rep.",COG,Agriculture value added per worker (constant 2005 US$),EA.PRD.AGRI.KD,400.6134149,411.9962668,424.1756122,437.9832024,425.5165844,423.5992504,426.0351425,463.5138115,486.3920892,499.0700801,502.4239568,449.6096338,474.3016368,423.4760696,406.4626634,421.0163343,418.0532473,419.6295113,423.2100597,391.0130484,404.8156853,434.6894928,470.1090627,499.5474915,522.5184881,542.3615345,568.2265645,594.3217423,623.8481774,600.4920338,634.4068417,685.0188837,NA,NA
Costa Rica,CRI,Agriculture value added per worker (constant 2005 US$),EA.PRD.AGRI.KD,2540.475173,2612.765423,2437.667006,2500.133879,2741.895307,2538.543291,2651.251675,2818.313836,2885.551985,2972.720986,3198.569071,3421.657272,3534.629496,3617.17718,3722.836428,3945.257786,4029.44182,4025.313192,4288.412747,4482.617875,4499.224719,4534.119398,4372.795405,4695.526955,4773.115099,4962.624214,5592.395457,5924.054964,5749.947055,5608.886351,6019.786053,6113.238313,6499.413201,6555.858775
Cote d'Ivoire,CIV,Agriculture value added per worker (constant 2005 US$),EA.PRD.AGRI.KD,1170.448751,1153.73372,1100.96783,949.0876102,966.6824566,792.4998223,895.1401598,863.8587923,894.906938,926.6656433,948.2813784,948.2174341,949.4521423,937.5934534,998.2187907,1028.711622,1057.880106,1063.448157,1117.605921,1090.387531,1214.747912,1218.676692,1195.125516,1222.959087,1282.055511,1305.418048,1331.601684,1357.711584,1371.689994,1428.28873,1467.587887,1545.010172,1591.76501,NA
Croatia,HRV,Agriculture value added per worker (constant 2005 US$),EA.PRD.AGRI.KD,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,6638.824143,7231.390851,7921.297745,9160.669744,9526.893075,10442.14161,11579.84623,12919.63122,12819.76883,15055.43816,15993.986,18585.28384,19294.02238,21815.33144,22623.72872,22892.12563,23403.96779,23652.64163,25493.37368
Cuba,CUB,Agriculture value added per worker (constant 2005 US$),EA.PRD.AGRI.KD,2949.496188,3515.341098,3838.937502,4051.340697,4367.060989,4256.980386,4301.588803,4390.595907,4547.434558,4588.640504,4222.786309,3236.786772,2923.896418,2278.503178,2190.664233,2306.410597,2747.257542,2809.570174,2445.297896,2696.722111,3031.538525,3052.128346,3338.836435,3454.42188,3361.777525,2982.826748,2883.532576,3517.373787,3615.527092,3838.597092,4016.216686,4187.928013,NA,NA
Curacao,CUW,Agriculture value added per worker (constant 2005 US$),EA.PRD.AGRI.KD,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Cyprus,CYP,Agriculture value added per worker (constant 2005 US$),EA.PRD.AGRI.KD,4027.214855,4101.161728,4336.748462,4469.154858,5098.661679,5316.051322,5628.433065,6118.207669,7151.525799,7806.815195,8338.442014,7224.903727,9338.384397,9904.13886,9022.919541,10731.40135,10799.24303,9578.40572,10478.5281,11953.65878,11734.08949,12192.20996,13134.69403,12199.31336,12202.31605,12178.40811,11281.37299,11249.82653,11380.30855,NA,NA,NA,NA,NA
Czech Republic,CZE,Agriculture value added per worker (constant 2005 US$),EA.PRD.AGRI.KD,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,4828.354682,5826.762405,5336.410654,5099.996934,4876.870112,5309.239053,5584.012891,5871.303023,5936.592482,5954.392071,6514.85441,7526.731915,8044.178745,7758.830816,6222.787831,6852.012637,8895.868314,6712.215331,6765.673135,6680.677728,6228.302863
Denmark,DNK,Agriculture value added per worker (constant 2005 US$),EA.PRD.AGRI.KD,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,13033.4612,13484.3638,14317.37345,18691.44428,20798.932,22236.64271,23526.6665,24832.46085,26477.71648,26568.25492,30000.01791,32544.00375,31970.26006,33369.41893,33999.77939,32120.24563,30939.30539,31065.60196,29181.69524,31950.21504,32516.74612,31889.10808,31885.46864,30849.22068
Djibouti,DJI,Agriculture value added per worker (constant 2005 US$),EA.PRD.AGRI.KD,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,107.6115935,103.9835312,106.3463962,105.8082765,105.8065803,88.73693642,89.03844622,86.21693482,83.72245419,81.93097763,81.30222386,81.98201977,82.70400134,83.46948785,85.83922142,86.69427359,89.03634762,NA,NA,NA,NA,NA,NA,NA
Dominica,DMA,Agriculture value added per worker (constant 2005 US$),EA.PRD.AGRI.KD,3884.810272,4631.236699,4688.793932,4697.276051,4996.57366,4793.608682,6263.211445,6503.134225,6914.138306,5903.327274,6304.107373,6267.982637,7298.170549,7326.213471,7053.573948,6480.25198,6834.68336,6732.638281,6598.65543,6457.661848,6868.509678,6469.168135,6315.025623,6986.735505,6992.400661,6974.413765,7047.796552,6436.750819,7372.823255,7467.486477,6688.274721,7090.800691,7141.085624,NA
Dominican Republic,DOM,Agriculture value added per worker (constant 2005 US$),EA.PRD.AGRI.KD,2642.639259,2758.623445,2840.915693,2888.937034,2855.581749,2726.582607,2685.491953,2740.734637,2691.297206,2738.66825,2499.551469,2622.585369,2883.633062,2958.844927,2807.747806,3033.035503,3196.278904,3154.106177,3217.061848,3413.222769,3615.856651,4003.824754,4150.116707,4306.349579,4272.77011,4604.18471,5089.026148,5279.118483,5208.943237,5970.495385,6434.628188,6937.160758,7368.648066,7848.845052
Ecuador,ECU,Agriculture value added per worker (constant 2005 US$),EA.PRD.AGRI.KD,1342.407237,1503.629395,1637.692734,1319.253863,1473.169873,1547.043812,1697.563367,1742.598314,1791.527721,1888.304283,1945.559497,2081.659577,2133.404578,2093.644456,2180.068909,2234.055643,2352.648919,2465.187911,2385.777943,2590.441787,2605.578504,2710.309823,2746.943784,2918.917785,2978.848146,3181.371867,3313.092638,3434.701163,3497.620734,3566.282116,3601.423309,3806.957026,3867.634681,4123.681627
"Egypt, Arab Rep.",EGY,Agriculture value added per worker (constant 2005 US$),EA.PRD.AGRI.KD,935.2434294,926.6834204,938.7706866,937.2139271,966.3033533,1003.040816,1028.568033,1051.311342,1095.145205,1134.653951,1210.463125,1290.532803,1327.466826,1342.089777,1380.343721,1426.678168,1481.060246,1543.742496,1612.419387,1614.787831,1676.840685,1749.230844,1770.903894,1817.03662,1854.912938,1906.865368,1967.317073,2024.64673,2090.846389,2158.112501,2237.143611,2329.353409,2408.303787,2495.512104
El Salvador,SLV,Agriculture value added per worker (constant 2005 US$),EA.PRD.AGRI.KD,2550.824679,2279.11877,2096.648558,2141.820229,2203.181707,2155.654039,2054.326836,2075.089949,2041.275975,2017.349145,2132.765261,2169.856992,2213.228879,2131.112407,2056.505879,2146.310752,2217.955118,2238.788609,2210.233127,2418.570831,2381.60322,2357.780258,2411.727197,2403.19306,2525.342942,2678.913738,2862.850228,3145.648734,3278.720135,3221.12592,3361.134047,3317.737471,3468.116422,3489.065262
Equatorial Guinea,GNQ,Agriculture value added per worker (constant 2005 US$),EA.PRD.AGRI.KD,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Eritrea,ERI,Agriculture value added per worker (constant 2005 US$),EA.PRD.AGRI.KD,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,162.0194868,221.9102319,195.3396302,181.2098397,177.8741609,271.6012735,241.9557618,131.6971907,162.7652066,143.8102877,121.0778828,112.3989856,183.3413984,192.9629701,190.8229323,105.1266046,106.2389389,NA,NA,NA,NA
Estonia,EST,Agriculture value added per worker (constant 2005 US$),EA.PRD.AGRI.KD,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,3336.239075,3562.858148,4382.88071,5697.400333,5221.714877,6343.780926,5838.088758,6042.246649,6621.659808,6348.855453,6318.77275,6546.056922,7570.263585,7757.761901,8036.629563,7147.602042,8408.064634,9772.866183,9596.287409
